cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	sample_usage	background_usage	sample_fraction_in_cluster	log2fc_smooth	fc_smooth	minus_log10_fdr	support_log	enrichment_support_score	enrichment_stat_score	internal_edges_n	internal_mreach_q90	cohesion	external_edges_n	external_mreach_q10	separation	density_validity	geometry_score	has_density_validity	is_sample_knn_closed	log2_odds	odds_ratio	dbcv_with_odds	redcea_auxiliary_validity	is_good_candidate	is_good_candidate_relaxed
0	7	2	5	0.7104497794422735	0.8546962368661638	-0.1136834437724625	6.4286977065620935e-06	8.352306990713905e-06	0.2857142857142857	-0.1932236550866726	0.8746491611280024	0.06818820818764618	1.0986122886681098	0.0	0.0	2	21.730369567871094	21.730369567871094	12	18.20611705780029	18.20611705780029	-0.162180974376133	0.0	True	False	-0.1932275439716271	0.8746468034534541	0.0	0.0	False	False
1	6	3	3	0.2484928197628195	0.6391349903121512	0.2842565647692867	9.64304655984314e-06	5.011384194428343e-06	0.5	0.9442798686632656	1.9242281544816098	0.19440740575998094	1.3862943611198906	1.309049857246916	0.2544889867578463	6	18.781068801879883	18.781068801879883	15	18.146210861206054	18.146210861206054	-0.033803078374873056	0.0	True	False	0.9442854370942015	1.9242355815205598	0.0	0.0	False	False
2	95	42	53	0.0058748159675141	0.0745489087820813	0.1832299855685442	0.00013500265183780395	8.85344541015674e-05	0.4421052631578947	0.6122038183998164	1.5285924591676296	1.127558709198097	3.7612001156935624	2.30262107259343	2.5963404443857856	259	14.096533584594747	14.096533584594747	35	12.16017417907715	12.16017417907715	-0.13736422460864622	0.0	True	False	0.612269751447597	1.5286623194359632	0.0	0.0	False	False
3	80	38	42	0.0005364285100462	0.0125166652344114	0.2407908709892848	0.00012214525642467977	7.01593787219968e-05	0.475	0.8016754732204614	1.7431243281774536	1.9025113630748622	3.6635616461296463	2.936987516333317	5.587652123033153	252	13.017716407775879	13.017716407775879	14	12.145824813842774	12.145824813842774	-0.06697730743406714	0.0	True	False	0.8017493663238042	1.7432136111937129	0.0	0.0	False	False
4	722	284	438	0.0001854444699125	0.0048323850918813	0.0961007943127625	0.0009128750743318172	0.0007316620923865381	0.39335180055401664	0.3201316785251116	1.248444492474383	2.3158384641602887	5.652489180268651	1.8095408491244354	4.190604300871637	1927	13.356843948364258	13.356843948364258	61	12.418209075927734	12.418209075927734	-0.07027370208599862	0.0	True	False	0.3203922138286561	1.2486699685638838	0.0	0.0	False	False
5	36	9	27	0.1791855741997925	0.5788493314250525	-0.1928646899182057	2.8929139679529418e-05	4.5102457749855086e-05	0.25	-0.5891523314178109	0.6647333624572823	0.23743446398573742	2.302585092994046	0.0	0.0	31	16.28622817993164	16.28622817993164	32	14.621092796325684	14.621092796325684	-0.10224192889903046	0.0	True	False	-0.5891767791380698	0.6647220980686646	0.0	0.0	False	False
6	357	148	209	0.000156991540152	0.0041618301857134	0.1343719940540465	0.0004757236302855949	0.00034912643221184125	0.41456582633053224	0.4477925557646767	1.363951699000088	2.3807156441897903	5.003946305945459	2.24072990524853	5.334540739829082	943	12.859365463256836	12.859365463256836	93	12.260836601257324	12.260836601257324	-0.04654419875612781	0.0	True	False	0.44797415791087936	1.3641233999757898	0.0	0.0	False	False
7	307	120	187	0.0206113951327264	0.2172716947554139	0.0915962042817093	0.0003857218623937256	0.0003123762814527001	0.39087947882736157	0.30642241950998006	1.2366372939468444	0.6629968480569529	4.795790545596741	1.4695377424448408	0.9742988913416597	796	13.555405616760254	13.555405616760254	44	11.10627202987671	11.10627202987671	-0.18067578766181458	0.0	True	False	0.3065271575673485	1.23672707569967	0.0	0.0	False	False
8	35	16	19	0.0512326324370475	0.2768445175266948	0.2096229464766683	5.142958165249675e-05	3.1738766564712836e-05	0.45714285714285713	0.7032717691594677	1.6281930537921279	0.5577640725908397	2.833213344056216	1.9925189608806266	1.1113554903352463	83	14.932955741882324	14.932955741882324	29	13.577510452270507	13.577510452270507	-0.09076872074362424	0.0	True	False	0.7032990644230779	1.6282238589018478	0.0	0.0	False	False
9	14	10	4	3.9280538599584254e-08	4.124456552956346e-06	0.6821965733761801	3.2143488532810465e-05	6.681845592571124e-06	0.7142857142857143	2.1666722899997097	4.489865693790411	5.384633266896012	2.3978952727983707	5.195453241893524	27.975610362902604	66	11.749543190002441	11.749543190002441	4	11.80995283126831	11.80995283126831	0.005115146701172827	0.005115146701172827	True	False	2.1667079103543134	4.489976550609056	0.026575942415895438	0.026575505511369335	True	True
10	37	13	24	0.8812717475690528	0.9634550299031353	0.0179886753798291	4.1786535092653606e-05	4.009107355542674e-05	0.35135135135135137	0.08445752671152285	1.060288983081701	0.016168551606045547	2.6390573296152584	0.22288825490922085	0.0036037802518811717	69	14.214868545532227	14.214868545532227	22	13.82143201828003	13.82143201828003	-0.02767781678683586	0.0	True	False	0.08445885911900852	1.0602899623168065	0.0	0.0	False	False
